Final exam (FE) Q1 (max mark 24) - Financial accounting,Final exam (FE) Q2 (max mark 13) - Activity based costing,Final exam (FE) Q3 (max mark 9) - Cost volume profit analysis ,Final exam (FE) Q4 (max mark 10) - Decision making,Final exam (FE) Q5 (max mark 22) - Earnings management,Total Facebook time (minutes),Communications with friends and family*FB time,Enjoyment and entertainment*FB time,Filling in 'dead' or vacant time*FB time,Keeping informed about events and news*FB time,Education and study*FB time,Work related reasons*FB time,Arrange a meeting for a group project*FB time,Contact another student with a question related to class or university work*FB time,Discuss university work*FB time,Ask a classmate for help in the class*FB time,Help manage a group project*FB time,Collaborate on an assignment in a way my instructor would like*FB time,Arrange a face–to–face study group*FB time,Accounting major dummy 1=Yes; 0=No,Age when studying 22107,Gender Dummy 1=Male. 0=Female,WAM,Year of Study,Linkedin total time (minutes),Snapchat total time (minutes),Twitter total time (minutes),Final exam (FE) total (max mark 100)
7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.89,1,45.5,0,0,0,0,20
5,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.64,1,48,0,0,0,0,28
6,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,51,0,0,0,0,24
14,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,59.33,0,0,0,0,52
7.5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.42,0,62.33,0,0,0,0,29.5
10,7,9,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.90,1,63.5,0,0,0,0,62
15,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,1,64.67,0,0,0,0,35
13,10,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,1,67.33,0,0,0,0,42
12,13,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,1,72,0,0,0,0,52
18,7,5,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,1,80.67,0,0,0,0,71
11.5,11,9,9,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72,1,83.67,0,0,0,0,67
12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,79.43,0.5,10,0,0,29
19,8,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,84,0,60,0,0,63
5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,60,0,0,26
13,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,83,0,210,0,0,48
14,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,0,65.67,0,0,60,0,39
11,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25,0,73.3,0,0,60,0,21
19,13,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,76,0,0,120,0,56
15.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,0,57.83,3,60,120,0,27
11,12,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.47,0,57.5,0.5,0,128,0,49
15.5,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,70.67,0,0,300,0,35.5
12,8,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,0,71.67,0,0,300,0,38
15,2,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.38,0,53,0,0,480,0,47
19,7,9,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44,0,65,0,0,60,20,77
20,13,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.13,1,87.67,0,0,480,30,91
14,9,8,6.5,0,1,2,3,1,1,1,1,1,4,4,4,3,2,1,1,19.64,0,62.33,0,0,0,5,37.5
6,0,5,4,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0,18.03,0,51,0,,,,24
2.5,6,2,4,5,5,5,10,5,5,10,5,20,20,20,20,20,20,20,0,19.61,0,44.5,0,0,0,30,30.5
22,8,9,10,13,2,6,6,6,6,6,6,6,6,6,6,6,6,6,0,32.67,1,81.33,0,0,0,0,80
8,6,0,0,0,2,8,8,8,8,8,8,8,8,8,8,0,8,8,0,19.61,0,63.33,0,0,0,0,29
19,12,4,0,14,2,8,2,2,2,8,2,4,6,6,8,6,6,2,0,18.82,1,86,0,0,0,0,70
15,5,4,0,5,5,15,15,15,15,15,15,20,20,15,20,20,10,10,0,18.77,0,75,0,0,180,0,29
10,10,7,9,11,5,20,10,5,15,20,5,25,25,25,25,20,25,25,0,20.81,0,84.33,0,0,0,0,65
11,0,6,9,3,5,20,20,5,15,15,5,25,5,5,5,20,5,5,0,18.29,1,71.57,0.5,0,0,0,42
5.5,0,2,4,15,5,20,5,25,20,5,5,25,25,25,25,25,25,25,0,22.10,0,72,0,60,0,0,26.5
9.5,0.5,2,3,11,5,25,20,15,20,15,15,25,25,15,25,20,20,20,0,18.14,0,77.67,0,0,15,0,35
5.5,0,1,1,6,10,30,20,30,30,40,40,40,40,20,30,40,30,30,0,25.19,0,46,0,0,0,0,25.5
4,7,2,4,0,10,30,30,30,30,50,40,50,50,50,50,50,40,30,0,24.54,0,62,0,0,0,0,26
21.5,6,7,0,11,10,30,30,40,30,30,20,50,40,40,30,40,30,20,0,18.79,1,71.67,0,0,0,0,59.5
20,7,4,5,9,10,30,30,30,30,30,30,30,30,30,30,30,30,30,0,20.44,1,71.57,0.5,0,0,0,45
8.5,9,9,8,17,10,30,20,10,10,10,10,40,40,40,40,40,10,20,1,18.18,1,75,0,10,0,0,51.5
14.5,0,3,0,15,7,35,28,28,14,21,14,7,7,7,7,7,7,7,0,17.81,1,61.33,0,0,0,5,32.5
13,12,9,1,13,10,40,10,10,40,40,40,40,40,40,20,40,40,40,0,18.31,1,79.33,0,0,0,0,65
20.5,13,9,10,22,10,40,40,30,40,40,30,50,40,40,40,40,30,40,0,18.54,0,84.5,0,20,0,0,74.5
5,4.5,2,2,7,10,40,40,50,40,40,20,50,50,40,50,40,10,40,0,19.14,0,66,0,30,30,0,32.5
20,13,8,9,18,10,40,20,30,20,20,20,20,40,30,30,40,30,20,0,18.09,1,74,0,0,180,60,87
12,1,0,0,0,15,45,45,45,45,60,45,30,60,60,30,60,60,60,1,21.93,0,63.2,0,0,0,0,19
7,0,0,0,0,15,45,45,45,45,45,45,45,45,45,45,45,45,45,0,18.20,1,45.17,0.5,2,2,0,7
17,7,9,8,6,12,48,48,48,48,48,48,60,48,48,60,48,48,60,0,18.51,0,69.33,0,0,0,0,60
21,8,9,9,21,25,50,125,125,75,25,25,100,100,75,50,100,75,100,0,18.35,1,85,0,0,0,0,85
7,7,9,3,20,10,50,40,30,40,30,30,40,40,40,40,40,40,40,0,17.65,0,77.67,0,0,30,0,46
18.5,0,2,2,7,10,50,40,50,50,30,40,30,30,40,30,30,40,30,0,20.06,0,68,0,,,,44.5
16.5,8,5,7,0,30,60,90,90,90,60,60,60,120,120,120,120,120,120,0,18.29,1,63.67,0,0,0,0,49.5
17,7,9,8,6,15,60,60,15,60,75,60,75,75,75,75,60,75,30,0,18.51,0,69.33,0,0,0,0,60
19,0,6,0,11,15,60,60,60,60,60,45,75,60,60,60,60,60,60,0,17.94,1,80.67,0,0,0,0,36
13.5,8,8,6,15,15,60,60,60,15,45,45,60,60,45,45,60,45,45,0,22.04,1,62.2,0.5,0,0,0,50.5
8,3,9,2,5,15,60,30,45,30,75,60,75,75,75,75,60,75,60,0,21.99,1,60,0,60,0,0,42
19.5,5,9,2,7,15,60,45,60,45,15,15,30,15,15,15,30,30,30,0,17.49,0,83.67,0,0,180,0,59.5
20,2,5,4,21,15,60,60,60,60,45,30,60,60,60,60,60,45,60,0,19.63,1,80.27,1,120,20,5,67
9,12,9,9,5,15,60,60,30,45,45,30,60,60,60,60,60,45,45,0,19.71,0,64,0,0,0,15,44
23,13,9,6,19.5,15,60,60,45,45,60,60,75,75,75,75,60,75,75,1,19.29,0,91.33,0,0,0,240,90.5
13.5,9,6,3,14,16,64,16,16,48,32,16,48,32,32,32,32,32,32,1,17.73,0,77.5,0,14,5,0,45.5
15.5,8,6,0,18,15,75,75,75,30,60,30,75,60,60,60,60,60,60,0,17.74,0,73,0,0,0,0,47.5
22,13,9,3,20,15,75,45,30,75,30,30,75,75,75,75,75,75,75,1,17.66,0,78.67,0,0,120,0,67
16.5,11,4,2,9,15,75,60,60,60,45,45,75,75,60,75,60,60,60,0,17.74,0,82.67,0,15,300,10,55.5
14.5,1,6,2,1,15,75,45,30,30,60,30,75,60,60,30,60,60,30,0,17.69,0,75.67,0,0,60,45,40.5
17,6,0,2,13,15,75,60,60,75,75,60,75,60,30,30,60,45,45,0,17.94,0,79,0,0,210,60,51
14.5,7,7,10,0,20,80,80,80,80,60,80,20,80,80,80,80,80,80,0,20.55,0,75.67,0,0,0,0,52.5
6,12,8,5,16,20,80,80,100,80,60,40,80,80,80,80,80,80,80,1,25.80,1,69.33,0,10,20,0,66
19,8,9,6,0,20,80,20,20,80,80,80,80,80,80,80,80,80,80,0,17.87,1,84.33,0,0,240,0,42
19.5,8,9,6,5,20,80,80,60,80,80,80,20,40,40,80,40,40,40,0,19.03,0,70.33,0,0,0,60,60.5
10.5,1,7,0,0,20,80,80,80,80,80,80,80,100,100,100,80,100,100,0,20.28,0,64.67,0,0,0,120,37.5
13.5,1,1,2,12,30,90,60,120,60,120,90,150,150,60,150,120,150,90,0,19.53,0,68.67,0,0,60,0,43.5
7,0,3,1,1,30,90,120,120,120,90,90,90,120,120,120,150,150,120,0,28.24,0,75,1,144,60,0,12
5,9,7,4,0,30,90,90,90,90,90,60,120,120,120,120,120,120,120,0,21.48,0,47,0,0,60,10,34
15.5,13,9,10,21,30,90,30,30,30,90,30,120,120,150,120,120,120,120,0,20.36,0,81.67,0,0,0,60,68.5
11,11,9,8,6,20,100,100,100,100,80,100,100,100,80,100,100,100,100,1,18.64,1,71,0,0,0,0,53
17.5,8,8,4,17,20,100,80,60,80,60,60,80,100,80,100,60,80,80,0,18.09,0,79.67,0,0,900,0,68.5
15,8,2,0,6,20,100,60,80,80,80,80,80,100,80,80,80,60,100,0,19.22,1,71.67,0,2,0,60,42
16,4,4,0,2,30,120,120,120,120,90,90,120,90,90,120,120,90,90,1,19.69,0,64.33,0,0,0,0,35
8,0,8,5,19,30,120,120,120,60,120,60,150,150,120,150,120,120,150,0,22.33,0,80.33,0,0,0,0,57
20,12,9,9,20.5,30,120,90,120,90,30,60,120,120,120,60,120,120,90,0,17.88,0,85,0,0,0,0,70.5
19.5,11,6,3,15,30,120,90,90,60,90,90,150,150,150,150,150,150,150,1,17.79,1,88,0,0,0,0,54.5
23,11,5,2,9,30,120,150,90,120,60,60,150,150,150,120,120,90,90,0,18.13,0,77,0,10,0,0,50
9.5,8,7,5,18,30,120,120,120,120,120,90,120,120,120,150,120,120,90,0,18.74,0,87,0,5,45,0,47.5
18.5,2,5,8,16,30,120,120,120,120,120,90,150,120,120,60,120,30,120,0,19.53,0,77.67,0,0,60,0,70.5
13,4,5,2,21,24,120,96,120,96,96,48,120,120,120,120,120,120,120,0,18.25,1,74,0,0,120,0,45
15,0,2,1,11,30,120,120,90,90,120,120,120,120,120,120,120,120,120,0,18.33,0,71.67,0,0,180,0,44
19,12,9,4,7,30,120,120,120,120,90,90,120,120,120,120,120,120,120,0,17.89,0,73.67,0,0,180,0,51
18.5,13,9,8,17.5,30,120,120,90,150,120,90,150,120,120,120,150,120,90,1,26.69,1,74.48,0,0,0,20,66
14.5,0,2,0,14,30,120,120,90,90,120,60,120,120,120,120,120,120,120,0,18.30,0,64.67,0,0,20,60,30.5
14,1,4,3,19,30,120,90,90,90,30,60,150,150,90,150,120,120,120,0,19.79,0,62,2,,60,,52
17.5,1,7,7,9.5,25,125,100,125,75,50,50,100,100,100,100,100,50,75,0,17.45,1,71.33,0,0,0,0,61
11,11,3,5,9,35,140,105,105,105,105,70,70,105,105,70,175,70,70,1,20.66,0,58.33,0,0,0,0,39
20,12,7,9,17,35,140,105,105,70,140,105,140,140,140,140,140,140,140,0,21.03,1,81.67,0,0,0,0,82
5,0,0,4,8,30,150,120,60,90,90,60,150,150,150,150,120,150,150,0,18.10,0,76,0,0,0,0,34
16.5,7,7,8,11.5,30,150,150,150,150,120,150,60,120,120,120,90,90,90,0,19.88,0,67,0,5,0,0,65
11.5,11,9,9,10.5,30,150,120,90,120,90,90,120,120,120,120,120,120,120,0,19.72,1,83.67,0,0,5,0,67
20,8,9,6,22,30,150,150,150,60,120,120,150,150,150,150,150,120,90,0,18.30,0,76,0,5,15,0,65
20,13,7,10,22,30,150,150,150,150,150,120,150,150,150,150,150,150,150,0,18.74,0,79.33,0,5,20,0,72
22,13,6,3,12,30,150,120,120,90,90,90,150,150,120,120,120,150,150,0,22.50,0,89.33,0,15,45,0,75
12,6,2,2,5,30,150,90,30,60,60,30,120,150,150,150,120,60,150,0,17.84,0,70,0,0,60,0,41
8,2,5,6,13,30,150,120,90,90,120,90,150,90,90,120,120,60,60,0,18.03,1,71.33,0,0,60,0,46
19,12,4,10,17,30,150,120,120,120,120,120,120,150,150,150,120,150,150,0,18.56,1,77,0,0,60,0,79
13.5,0.5,0,3,7,30,150,150,120,120,90,90,150,150,90,150,90,90,90,0,18.08,1,84.67,0,0,60,0,35
19,1,4,4,20,30,150,120,150,120,120,60,150,120,120,120,150,120,150,0,17.80,0,83,0,0,120,0,48
14,0,4,1,18,30,150,120,150,120,90,60,150,150,150,150,120,90,90,0,18.99,1,70.64,1,0,120,0,53
18.5,13,9,10,16,30,150,90,120,120,60,60,120,150,120,120,90,90,60,0,18.18,0,76,0,0,180,0,83.5
21,11,9,9,15,30,150,120,150,120,120,90,150,150,150,90,120,150,120,1,19.13,1,73.57,1,0,180,0,86
22,11,7,6,4,30,150,90,120,120,90,90,90,90,90,90,60,90,90,0,17.93,0,80,0,0,300,0,50
12.5,13,9,10,18,30,150,150,150,150,120,60,150,150,90,150,150,120,120,0,17.83,1,84.67,0,0,360,0,62.5
15.5,9,1,6,7,30,150,150,60,150,150,30,150,150,150,150,120,150,150,0,17.79,1,63.67,0,1,480,5,51.5
17,7.5,8,2,13,30,150,150,120,150,30,30,60,60,60,60,60,60,60,0,18.23,0,74,0,0,1200,5,59.5
8.5,0,3,5,9,30,150,150,150,150,150,150,150,150,150,150,150,150,150,0,19.40,0,70,0,0,0,30,38.5
13,0,0,0,0,30,150,150,150,90,120,60,150,150,150,150,120,150,150,0,37.59,1,64,0,360,120,30,26
12.5,1,2,3,6,30,150,150,60,150,120,30,150,150,150,150,120,150,150,0,17.74,0,59.33,0,0,182,41,36.5
8,0,8,9,0,30,150,120,90,120,120,90,90,120,120,120,120,60,90,0,19.94,0,58.67,0,0,0,60,40
24,11,9,9,17,30,150,150,150,90,30,30,150,150,150,30,90,90,30,0,18.22,1,78.67,0,5,0,60,70
17,5,6,0,16,30,150,120,120,150,30,60,120,150,150,120,120,60,30,0,19.19,1,73.89,1,0,120,60,65
19.5,7,6,7,10,30,150,60,90,90,30,30,120,120,90,30,120,120,90,0,18.11,0,68,0,15,120,60,62.5
15.5,6,5,0,14,30,150,90,120,120,150,120,120,90,0,120,120,150,120,0,17.61,1,67.33,0,240,245,60,51.5
5.5,0.5,2,2,6,30,150,60,30,30,120,30,150,120,120,90,120,90,120,1,17.60,0,64.67,0,0,120,540,28
22,12,9,10,11.5,40,160,40,160,120,160,120,160,160,160,160,120,120,160,0,19.98,0,84.67,0,0,0,0,84.5
11,6,9,9,15,40,160,160,120,160,160,160,80,160,160,160,160,160,120,0,21.38,0,83,0,0,60,0,66
17,10,6,5,19,40,160,160,160,80,120,120,160,160,120,160,160,160,120,1,18.18,1,81.33,0,0,30,120,71
8,0,6,7,16.5,35,175,140,140,175,175,140,175,175,175,140,140,175,175,0,19.10,1,74.33,0,0,8,0,51.5
6.5,0,3,1,9,60,180,240,180,240,180,180,240,240,240,180,180,180,60,1,18.46,1,73.33,0,0,15,0,28.5
12,0,6,6,10,60,180,240,180,120,300,180,300,240,240,120,240,180,180,1,17.92,0,72.33,0,0,20,0,49
19.5,0,8,4,15,60,180,300,300,300,300,240,300,300,300,300,180,240,240,0,18.06,1,82.67,0,0,30,0,61.5
15,13,7,6,18,60,180,240,240,180,180,180,240,240,180,240,240,240,240,0,21.39,1,89.67,0,10,60,0,75
13,1,2,6,18,60,180,180,180,240,180,180,180,180,180,180,180,180,180,0,18.35,1,71.67,0,180,60,0,40
10,13,7,10,5,60,180,300,300,240,120,60,60,120,60,180,120,120,120,0,20.76,1,68,0,0,120,0,59
19,13,5,5,11,45,180,180,180,180,180,135,90,180,135,90,90,180,90,0,18.77,0,64,0,0,600,300,70
15.5,0,0,0,11,62,186,186,248,248,124,248,248,248,248,248,124,248,310,0,17.54,1,79.67,0,0,0,0,40.5
19,10,6,10,12,40,200,120,160,160,160,160,200,200,200,200,160,200,160,0,18.23,0,76.33,0,0,0,0,74
19,7,9,10,9,50,200,200,200,200,100,100,100,150,100,100,100,150,50,0,17.81,1,79.67,0,0,30,0,71
15.5,2,2,3,10,40,200,200,200,200,200,40,200,120,160,200,120,160,40,0,18.36,0,74,0,0,120,0,45.5
7.5,8,8,10,4.5,40,200,200,200,160,160,200,160,160,80,160,160,160,160,0,21.61,1,59.27,2.5,0,120,0,49
21,8,9,4,20,41,205,205,164,123,164,41,41,41,41,41,41,123,164,1,18.39,0,77.67,0,0,120,0,62
17.5,9,4,5,4,70,210,280,210,280,280,210,140,210,210,140,140,210,210,1,22.70,0,66,0,0,180,0,52.5
8,3,5,2,17,45,225,225,225,135,180,90,225,225,225,225,180,225,225,0,17.92,0,68.33,0,0,60,0,51
16.5,13,9,5,14,45,225,225,135,180,135,45,180,90,135,180,180,135,45,0,18.13,1,75,0,0,120,0,71.5
15,0,3,2,6,45,225,225,225,225,90,135,180,180,180,180,180,180,180,0,18.95,0,75.77,0,0,240,0,38
15.5,12,2,7,9,45,225,225,180,180,180,135,180,180,180,180,180,135,180,0,20.12,1,77,0,0,5,240,57.5
0,0,0,0,0,60,240,180,180,180,240,180,240,240,240,240,240,240,240,0,28.99,1,45.33,0,0,0,0,9
7.5,0,1,2,0,60,240,240,240,240,240,240,240,240,240,240,240,240,240,0,25.83,1,51.33,0,0,0,0,23.5
9.5,0,6,6,11,60,240,240,60,240,240,120,240,120,120,240,240,240,120,0,18.24,1,59,0,0,0,0,43.5
18.5,1,7,4,9,60,240,240,240,240,180,180,240,120,180,180,180,240,240,0,23.45,0,69.67,0,0,0,0,55.5
10.5,0,0,0,0,60,240,180,240,240,300,240,300,300,300,120,300,300,300,0,25.63,0,45.83,0.5,0,0,0,10.5
19,9,9,6,8,60,240,240,240,240,240,240,240,240,240,240,240,240,240,0,26.33,1,59.5,0.5,0,0,0,66
10.5,3,7,3,5,60,240,180,180,180,240,180,300,240,240,240,240,240,240,0,21.60,1,54.69,3,0,0,0,40.5
14,11,6,7,19,60,240,240,300,240,120,180,300,300,300,300,240,300,300,0,19.14,0,72.62,1,5,0,0,72
19,13,9,4,18,60,240,240,300,240,120,240,240,240,240,240,240,240,240,0,25.28,1,74.33,0,20,0,0,80
8,0,9,10,4.5,60,240,300,240,240,180,120,240,180,180,240,240,240,240,0,24.24,1,59,3.5,30,0,0,46.5
20.5,13,9,9,19,60,240,180,180,60,240,240,300,240,300,300,240,300,300,0,18.11,1,78,0,0,10,0,90.5
8.5,0,2,0,7,60,240,180,240,120,120,60,300,180,180,240,240,180,300,0,23.11,1,65.67,0,0,30,0,28.5
15,5,6,4,16,60,240,240,240,60,240,120,240,240,240,240,240,240,240,0,17.59,0,74,0,0,60,0,46
11.5,8,8,10,15,60,240,240,240,240,240,180,240,240,180,180,240,240,120,0,19.39,0,75.29,0.5,30,60,0,70.5
3,9,0,0,5,60,240,180,180,240,240,180,120,240,240,180,240,240,240,0,21.66,0,63.04,3.5,60,60,0,32
23.5,9,4,10,0,60,240,240,180,300,180,180,180,180,180,180,180,180,240,0,20.85,1,77.33,0.5,0,120,0,63.5
11.5,0,6,1,14,60,240,240,240,240,240,180,300,300,300,240,300,300,300,0,22.14,0,60.67,0,0,180,0,32.5
6.5,0,6,5,15,60,240,240,240,180,180,180,300,300,300,240,240,180,300,0,17.80,1,70,0,0,180,0,49.5
16.5,7,8,3,19,60,240,240,240,240,240,120,240,240,120,120,240,120,120,0,18.07,0,86,0,0,180,0,53.5
23,13,9,10,21,60,240,240,240,240,180,180,240,120,120,180,240,180,120,0,18.35,1,87.33,0,0,180,0,95
13,0,2,8,12,60,240,300,180,240,240,240,300,300,240,240,300,300,300,1,19.83,0,68.33,0.5,0,180,0,55
15.5,3,9,6,2,60,240,300,180,300,120,120,120,300,240,300,240,180,120,1,18.61,1,75.67,0,30,180,0,48.5
2,0,0,0,0,60,240,240,300,240,240,240,240,240,240,240,240,240,240,0,18.38,1,58.33,0,0,420,0,2
3.5,4,1,4,8,60,240,240,300,300,180,180,240,240,240,240,240,240,240,0,18.06,0,56,0,0,840,0,33.5
7,9,2,0,8,60,240,180,240,240,180,240,240,180,180,180,240,240,240,0,26.23,0,55.7,1.5,300,0,30,41
23,12,9,10,16,240,240,720,960,720,720,480,1200,1200,1200,1200,960,1200,1200,0,18.38,0,80,0,5,30,30,89
14.5,8,9,4,13.5,60,240,240,240,240,240,180,240,240,240,240,240,240,120,0,19.32,1,74.33,0,0,60,30,66
16,9,9,6,2,60,240,240,240,240,240,240,240,240,240,240,240,240,240,0,19.99,0,65.29,0.5,0,0,60,61
18,12,9,10,17,60,240,300,300,240,240,120,240,240,240,240,240,240,240,0,37.91,1,82.8,0.5,0,0,60,86
18,10.5,9,9,10,60,240,300,240,300,180,180,240,60,60,120,240,240,120,0,18.84,1,74,0,0,120,60,73.5
14,0,0,2,1.5,60,240,240,240,240,240,240,240,240,240,240,240,240,240,0,27.85,1,66,1.5,60,240,180,33.5
12,7,2,9,0,61,244,244,244,183,183,183,305,244,244,244,244,244,244,0,20.54,1,47.67,0,0,0,0,43
23,7,9,6,21,65,260,260,195,260,260,195,260,260,260,260,260,195,195,0,17.93,0,85.69,0,0,1200,0,87
11.5,5,0,1,8,67,268,335,268,335,268,268,268,201,134,268,268,134,201,0,17.78,0,79.33,0,,,,40.5
0,0,0,0,0,70,280,280,280,280,210,210,280,280,280,280,280,280,280,0,21.49,0,43.4,2,0,60,0,11.5
6,0,0,0,5,60,300,240,240,300,300,300,240,60,60,60,180,60,60,0,24.29,1,44.67,0,0,0,0,18
20,7,7,1.5,8,60,300,300,300,240,240,180,300,300,300,300,240,300,300,1,20.43,0,63.78,0,0,0,0,58.5
